Product_id,Product_name, Daily_Dose, Water, Protein, Fat, SFA, Cholesterol, PUFA, Starch, Carbohydrates, Dietary_Fiber, Organic_Acids, Ash, Sodium, Potassium, Calcium, Magnesium, Phosphorus, Iron, Retinol, Carotene, Retinol_Equivalent, Tocopherol_Equivalent, Thiamine, Riboflavin, Niacin, Niacin_Equivalent, Ascorbic_Acid, Energy_Value, Serving, Categories, Subcategories, Subcategories2, Subcategories3, Subcategories4
25,Баклажаны,182,91,1.2,0.1,0,0,3.6,0.9,4.5,2.5,0.2,0.5,6,238,15,9,34,0.4,0,20,3,0.1,0.04,0.05,0.6,0.8,5,24,100,"Овощи, грибы и продукты их переработки",Овощи,Другие овощные культуры,,
26,"Баклажаны, фаршированные овощами",75,80.2,2.9,4.5,0.5,0,6.6,0.8,7.4,2.9,0.3,1.8,382,324,38,22,52,0.7,0,2680,445,2.3,0.05,0.06,0.8,1.2,5.5,83,100,"Овощи, грибы и продукты их переработки",Овощи,Другие овощные культуры,,
27,Балык осетровый холодного копчения,,57.2,20.4,12.5,2.8,92,0,0,0,0,0,9.9,3474,240,39,21,181,0.9,58,0,58,2.4,0.04,0.1,1.7,6.6,0,194,100,Рыба. Нерыбные объекты промысла и продукты из них,Рыба,Осетровые,,
28,Банан,45,74,1.5,0.5,0.2,0,19,2,21,1.7,0.4,0.9,31,348,8,42,28,0.6,0,120,20,0.4,0.04,0.05,0.6,0.9,10,96,100,"Фрукты, ягоды и продукты их переработки",Фрукты,Тропические фрукты,,
29,Баранина 1 кат.,125,67.3,15.6,16.3,8,70,0,0,0,0,0,0.8,80,270,9,20,168,2,0,0,0,0.6,0.08,0.14,3.8,7.1,0,209,100,Мясо и мясные продукты,Мясо,,,
30,Баранина 2 кат.,125,69.7,19.8,9.6,4.7,70,0,0,0,0,0,0.9,101,345,11,25,190,2.3,0,0,0,0.5,0.09,0.16,4.1,8,0,166,100,Мясо и мясные продукты,Мясо,,,
31,Баранина отварная,125,55.9,21.8,17.4,8.5,75,0,0,0,0,0,4.9,1595,314,30,33,189,2.7,0,0,0,0.7,0.07,0.18,6,10.3,0,244,100,Мясо и мясные продукты,Кулинарные изделия,Баранина,,
32,Баранина тушеная,125,67.2,17.4,13.4,6.7,67,0.2,0,0.2,0.1,0,1.7,449,232,14,17,139,1.8,0,0,0,0.5,0.03,0.13,3.3,8.1,0,191,100,Мясо и мясные продукты,Консервы,,,
33,Баранки простые,,17,10.4,1.3,0.2,0,2,62.2,64.2,4.6,0.3,2.2,575,175,28,44,114,2.6,0,0,0,1.7,0.22,0.07,2.1,4,0,311,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки 1 сорта,
34,Баранки сдобные,,18.6,8.3,8,1.1,0,6.4,54,60.4,2.8,0.3,1.6,472,102,19,14,72,1.3,0,0,0,3.9,0.12,0.03,1,2.3,0,348,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки высшего сорта,
35,Баранина жареная,,55.4,22.4,19.4,9.5,74,0,0,0,0,0,3.8,1188,334,22,32,190,3,0,0,0,0.7,0.08,0.22,7.1,12.6,0,264,100,Мясо и мясные продукты,Кулинарные изделия,Баранина,,
36,Батон нарезной,,34,7.5,2.9,0.5,0,2.9,48.5,51.4,2.5,0.2,1.5,427,92,19,13,65,1.2,0,0,0,1.7,0.11,0.03,0.9,2.1,0,262,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки высшего сорта,
37,Батон простой,,36.6,8,1,0.2,0,1.6,47.5,49.1,3.3,0.3,1.7,443,136,23,34,89,2,0,0,0,1.3,0.16,0.06,1.6,3.2,0,238,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки 1 сорта,
38,Белок яичный,,87.3,11.1,0,0,0,1,0,1,0,0,0.6,189,152,10,9,27,0.2,0,0,0,0,0,0.6,0.2,3,0,48,100,Яйцепродукты,,,,
39,Белок сухой,,9,82.4,1.8,0.5,0,1.2,0,1.2,0,0,5.6,1297,1067,75,29,194,1.8,0,0,0,0,0,2,1.5,22.7,0,350,100,Яйцепродукты,Белок,,,
40,Белокочанная капуста,100,90.4,1.8,0.1,0,0,4.6,0.1,4.7,2,0.3,0.7,13,300,48,16,31,0.6,0,20,3,0.1,0.03,0.04,0.7,0.9,45,28,100,"Овощи, грибы и продукты их переработки",Овощи,Капуста,,
41,Белужья зернистая икра,,54.2,26.8,13.8,2.5,360,0,0,0.8,0,0,4.4,1630,80,55,37,465,2.4,550,0,550,4,0.12,0.4,0.9,5.8,1.8,235,100,Рыба. Нерыбные объекты промысла и продукты из них,Икра. Соленая продукция,,,
42,Белые грибы,15,89.4,3.7,1.7,0.4,0,1.1,0,1.1,3.2,0,0.9,6,468,13,15,89,0.5,0,0,0,0.9,0.04,0.3,5,8.5,30,34,100,"Овощи, грибы и продукты их переработки",Грибы,,,
43,Белые сушеные грибы,15,13,30.3,14.3,3.1,0,9,0,9,26.2,0,7.2,41,3937,107,102,606,4.1,0,0,0,7.4,0.24,2.45,40.4,69.1,150,286,100,"Овощи, грибы и продукты их переработки",Грибы,,,
44,Бефстроганов,,61.8,16.7,11.3,4.3,62,3.4,2.5,5.9,0.9,0.2,3.2,803,312,38,24,180,1.9,30,50,38,2,0.08,0.15,4,7.2,0.8,193,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
45,Биточки паровые говяжьи,,62,14.5,10.8,5.3,43,1.2,7.9,9.1,0.8,0.1,2.7,775,220,44,29,150,1.2,20,0,20,0.6,0.07,0.15,3.3,6.1,0.2,192,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
46,Биточки паровые куриные,,58.8,18.6,7.2,3.7,33,1.4,7.9,9.3,0.7,0,5.4,2048,208,50,30,160,1.4,40,0,40,1.2,0.06,0.09,5.1,8.7,0,176,100,Мясо и мясные продукты,Кулинарные изделия,Из мяса кур,,
47,Биточки перловые с творогом,,63.4,7.9,6.4,3.2,4,4,14.9,18.9,1.9,0.3,1.2,302,70,46,15,109,0.6,20,10,22,1.2,0.03,0.06,0.5,1.4,0,166,100,Зерно и продукты его переработки,Ячмень,Кулинарные изделия с ячменем,,
48,Биточки пшенные,,62.2,6.9,5.9,2.3,9,4.1,18.1,22.2,1.2,0.1,1.5,432,78,25,27,76,0.9,20,10,22,1,0.1,0.02,0.5,1.4,0,170,100,Зерно и продукты его переработки,Просо,Кулинарные изделия с пшеном,,
49,Биточки с рисом говяжьи,,68.2,5,5.5,2.3,14,0.9,17.6,18.5,1.1,0.1,1.6,499,109,33,18,80,0.7,0,20,3,0.9,0.04,0.05,1.1,2,0,144,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
50,Бифштекс говяжий,,57.2,29.2,11.2,9.2,95,0,0,0,0,0,2.4,572,296,20,34,282,3.6,0,40,7,0.8,0.4,0.3,7.8,12.9,0,216,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
51,Бифштекс говяжий с яйцом,,55.5,21.5,20.8,7.8,280,0.4,0,0.4,0,0,1.8,387,227,37,24,242,3.1,110,20,113,2,0.1,0.37,4.4,8.7,0,275,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
52,Блины пшеничные,,56,5.1,3.1,0.7,0,3.4,29.2,32.6,1.6,0.3,1.3,379,97,7,25,63,1.4,0,0,0,1.7,0.13,0.05,1.3,2.1,0,189,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Кулинарные изделия из муки 1 сорта,
53,Борщ из свежей капусты и картофеля,,90,1,1.1,0.3,0,4.5,0.9,5.4,0.9,0.1,1.5,263,162,23,12,80,0.5,0,440,73,0.3,0.02,0.03,0.3,0.4,4.3,36,100,"Овощи, грибы и продукты их переработки",Овощи,Капуста,Белокочанная,Блюда из капусты белокочанной
54,Борщ с корнеплодами,,91.7,0.8,1,0.2,0,4.1,0,4.1,0.9,0.1,1.4,262,129,24,10,76,0.4,0,440,73,0.3,0.01,0.02,0.2,0.3,4.8,29,100,"Овощи, грибы и продукты их переработки",Овощи,Корнеплоды,,
55,Борщ с картофелем,,88.5,1.1,1.1,0.3,0,4.3,2.5,6.8,0.8,0.2,1.5,260,214,20,17,78,0.3,0,410,68,0.3,0.03,0.03,0.4,0.6,3.6,42,100,"Овощи, грибы и продукты их переработки",Овощи,Картофель,,
56,Бройлеры (цыплята) 1 кат.,,64.3,18.7,16.1,4.1,70,0,0,0,0,0,0.9,70,236,14,19,160,1.3,40,0,40,0.3,0.09,0.15,6.1,11.1,2,220,100,Мясо и мясные продукты,Мясо,Мясо птицы,,
57,Бройлеры (цыплята) 2 кат.,,68.2,19.7,11.2,3,60,0,0,0,0,0,0.9,88,242,12,22,175,1.7,30,0,30,0.3,0.11,0.16,6.4,11.6,2,180,100,Мясо и мясные продукты,Мясо,Мясо птицы,,
58,Брусника,,86,0.7,0.5,0,0,8.1,0.1,8.2,2.5,1.9,0.2,7,90,25,7,16,0.4,0,50,8,1,0.01,0.02,0.2,0.3,15,46,100,"Фрукты, ягоды и продукты их переработки",Ягоды,Ягоды лесные,,
59,Брынза (из коровьего молока),,52,22.1,19.2,12.3,52,0.4,0,0.4,0,1.7,5,1200,95,630,24,375,0.7,170,60,180,0.3,0.04,0.12,0.3,5,1,262,100,Молоко и молочные продукты,Сыры,Сычужные рассольные,,
60,Брынза (из овечьего молока),,53,21.1,18.8,11.2,75,0.3,0,0.3,0,2,5.1,1200,115,780,35,525,0.9,180,70,192,0.4,0.05,0.15,0.4,3.7,1,260,100,Молоко и молочные продукты,Сыры,Сычужные рассольные,,
61,Брюква,,87.8,1.2,0.1,0,0,7,0.7,7.7,2.2,0.2,0.8,10,238,40,14,41,1.5,0,50,8,0.1,0.05,0.05,1,1.1,30,37,100,"Овощи, грибы и продукты их переработки",Овощи,Корнеплоды,,
62,Брюква припущенная,,84.3,1.3,1.6,0.3,0,7.6,0.8,8.4,2.5,0.2,1.7,305,250,47,15,43,1.6,0,50,8,0.6,0.05,0.05,1.1,1.2,19.6,54,100,"Овощи, грибы и продукты их переработки",Овощи,Корнеплоды,,
63,Брюссельская капуста,,86,4.8,0.3,0.1,0,2.7,0.4,3.1,4.2,0.3,1.3,7,375,34,40,78,1.3,0,300,50,1,0.1,0.2,0.7,1.5,100,35,100,"Овощи, грибы и продукты их переработки",Овощи,Капуста,,
64,Бублики простые,,26,9.1,1.1,0.2,0,1.8,55.3,57.1,4.5,0.3,1.9,501,152,25,38,99,2.3,0,0,0,1.5,0.18,0.06,1.8,3.5,0,276,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки 1 сорта,
65,Булка ярославская,,28.8,7.6,5.3,0.7,0,7.5,46.2,53.7,3.1,0.3,1.2,279,132,21,32,86,2,0,0,0,2.9,0.16,0.06,1.6,3,0,294,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки 1 сорта,
66,Булки городские,,32.7,7.7,2.4,0.5,0,2.9,50,52.9,2.6,0.2,1.5,437,97,20,13,68,1.2,0,0,0,1.5,0.11,0.03,1,2.2,0,265,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки высшего сорта,
67,Булочка повышенной калорийности,,23.2,7.6,10,6,72,22.8,31,53.8,3.3,0.4,1.7,234,266,47,34,121,2.3,56,29,61,1.1,0.15,0.12,1.4,2.9,0,337,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки 1 сорта,
68,Булочки молочные,,34.3,8.8,2.2,1.2,4,2,48.3,50.3,2.6,0.3,1.5,359,157,67,18,105,1.1,9,6,10,1.1,0.12,0.08,1,2.4,0,257,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки высшего сорта,
69,Булочки сдобные,,23.7,7.9,9.4,2.3,54,15.9,39.6,55.5,2.1,0.2,1.2,268,114,31,13,89,1.3,18,5,19,4,0.11,0.08,1,2.2,0,339,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки высшего сорта,
70,Булочки столичные,,31.1,8.4,2.2,0.4,0,1.5,52.2,53.7,2.8,0.2,1.6,456,117,21,15,82,1.4,0,0,0,1.5,0.13,0.05,1.3,2.7,0,269,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки высшего сорта,
71,Булочки столичные с молочной сывороткой,,31.1,8.4,2.2,0.4,0,1.8,51.9,53.7,2.7,0.2,1.7,456,127,25,15,87,1.4,0,0,0,1.5,0.13,0.06,1.3,2.7,0,269,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Хлебобулочные изделия из муки высшего сорта,
72,Бутербод с соленой горбушей,,21,6.7,2.7,0.5,17,0.8,14,14.8,1.3,0.1,3.4,1198,95,19,16,51,1.1,4,0,4,0.9,0.09,0.05,1.4,2.6,0,110,50,Рыба. Нерыбные объекты промысла и продукты из них,Рыба,Лососевые,,
73,Бутерброд с зернистой икрой кеты,,15.3,5.5,3.9,1.4,35,0.9,14.1,15,0.9,0.1,1.3,356,48,16,23,75,0.8,57,8,58,0.8,0.09,0.05,0.4,1.4,0,117,42,Рыба. Нерыбные объекты промысла и продукты из них,Икра. Соленая продукция,,,
74,Бутерброд с икрой осетровой зернистой,,16.4,5.2,3.5,1.3,34,0.9,14.1,15,0.8,0.1,1,290,47,12,14,66,0.8,30,8,31,0.5,0.08,0.05,0.6,1.6,0.2,112,100,Рыба. Нерыбные объекты промысла и продукты из них,Икра. Соленая продукция,,,
75,Бутерброд с килькой и яйцом,,30.9,7.1,6.9,1.3,79,1.1,14.1,15.2,1.3,0.1,3.5,1126,94,33,22,110,1,25,6,26,1,0.06,0.08,0.9,2.6,0,151,65,Рыба. Нерыбные объекты промысла и продукты из них,Рыба,Сельдевые,,
76,Бутерброд с колбасой (любительской),,39.8,8.5,14.3,5.7,20,0.3,13.9,14.2,1.3,0.1,1.8,563,145,17,18,99,1.4,0,0,0,0.6,0.17,0.11,1.7,3.6,0,220,80,Мясо и мясные продукты,Колбасные изделия,Вареные колбасы,,
77,Бутерброд с отварной говядиной,,21.9,7.6,3.7,1.8,19,0.3,13.9,14.2,1.3,0.1,1.3,346,84,13,16,73,1.3,0,0,0,0.5,0.07,0.06,1.2,2.7,0,122,100,Мясо и мясные продукты,Кулинарные изделия,Говядина,,
78,Бутерброд с сельдью,,28.2,5.8,6.7,3.2,28,1.1,14,15.1,1.3,0.1,2.8,1090,96,28,19,82,1.1,30,120,50,1.1,0.05,0.05,0.8,1.9,1.3,144,60,Рыба. Нерыбные объекты промысла и продукты из них,Рыба,Сельдевые,,
79,"Варенец 2,5 % жирности",,89,2.9,2.5,1.5,8,4.1,0,4.1,0,0.8,0.7,51,144,118,16,96,0.1,20,10,22,0,0.03,0.13,0.1,0.8,0.8,53,100,Молоко и молочные продукты,"Жирность 1,1 - 3,0 %",Кисломолочные продукты,,
80,Вареники ленивые отварные,,63.6,13.2,7,4.3,52,6.9,6.9,13.8,0.6,0.8,1,267,81,74,18,143,0.6,45,20,48,0.3,0.05,0.2,0.5,3.3,0.2,173,100,Молоко и молочные продукты,"Жирность 3,1 - 10,0 %",Кулинарные изделия,,
81,Вареники пшеничные,,62.1,12,6.4,3.5,52,4.3,11.9,16.2,1.3,0.6,1.4,405,84,57,22,100,0.6,20,0,20,0.6,0.08,0.15,0.8,2.7,0,172,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Кулинарные изделия из муки 1 сорта,
82,Варенье из айвы,25,27,0.4,0.2,0,0,70.4,0.2,70.6,1.3,0.3,0.2,6,55,13,7,12,2,0,10,2,0.2,0.01,0.02,0.1,0.1,2.3,273,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
83,Варенье из груши,25,27,0.3,0.2,0,0,70.6,0.2,70.8,1.3,0.2,0.2,1,70,11,6,8,1.2,0,0,0,0.3,0,0.01,0.1,0.1,1.1,273,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
84,Варенье из клубники,25,23,0.3,0.1,0,0,74,0,74,1.7,0.6,0.3,13,135,10,7,10,0.9,0,20,3,0.3,0.01,0.05,0.4,0.4,8.4,285,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
85,Варенье из малины,25,26,0.6,0.2,0,0,70.1,0.3,70.4,2,0.5,0.3,14,168,19,10,16,1.2,0,20,3,0.5,0.01,0.04,0.4,0.5,7.4,273,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
86,Варенье из мандаринов,25,21.5,0.7,0.2,0,0,75.9,0,75.9,1.1,0.3,0.3,14,78,44,12,9,0.1,0,30,5,0.2,0,0.02,0.1,0.2,3.7,294,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
87,Варенье из персиков,25,31.4,0.5,0,0,0,66.8,0,66.8,0.4,0.6,0.3,13,163,9,7,15,0.3,0,10,2,0.8,0.01,0.02,0.3,0.4,2,258,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
88,Варенье из рябины черноплодной,25,22.2,0.4,0,0,0,74.8,0,74.8,1.8,0.5,0.3,19,27,20,11,22,1.4,0,50,8,0.5,0.01,0.02,0.3,0.4,5,387,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
89,Варенье из сливы,25,24,0.4,0.3,0,0,74,0.2,74.2,0.4,0.5,0.2,1,107,15,9,14,0.5,0,50,8,0.3,0.01,0.01,0.3,0.4,3,288,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
90,Варенье из яблок,25,29.8,0.4,0.3,0,0,68.2,0,68.2,0.8,0.3,0.2,1,124,11,5,7,1.3,0,0,0,0.2,0,0.01,0.1,0.1,1.4,265,100,"Фрукты, ягоды и продукты их переработки","Варенье, джем, повидло (консервы)",,,
91,Ватрушка пшеничная,,41.3,11.9,6.4,3.3,57,5,32.5,37.5,1.4,0.3,1.2,263,96,65,16,112,0.8,30,10,32,1.2,0.08,0.14,0.9,2.9,0,256,100,Зерно и продукты его переработки,Пшеница,Изделия из зерна мягкой пшеницы,Кулинарные изделия из муки высшего сорта,
92,Ватрушки картофельные,,64.9,6.2,7.6,3.4,53,3.9,13.8,17.7,1.3,0.4,1.9,327,448,50,21,108,1,40,30,45,0.8,0.1,0.15,1,2.2,1.8,165,100,"Овощи, грибы и продукты их переработки",Овощи,Картофель,,
93,Вафли с жировыми начинками,,1,3.9,30.6,8.9,14,38,24.5,62.5,1.2,0.4,0.4,89,48,8,6,42,0.6,6,8,7,4.7,0.05,0.02,0.4,1,0,542,100,Кондитерские изделия,Мучные кондитерские изделия,Вафли,,
94,Вафли с фруктово-ягодными начинками,,12,2.8,3.3,0.2,6,67.1,10.2,77.3,3.1,1.2,0.3,49,140,16,10,36,1.5,2,5,3,0.7,0.03,0.04,0.4,0.7,0,354,100,Кондитерские изделия,Мучные кондитерские изделия,Вафли,,
95,Ветчина особая,,72.8,17.6,6.2,2.2,60,0,0,0,0,0,3.4,955,277,26,26,201,1.3,0,0,0,0.4,0.34,0.16,2.1,7,0,126,100,Мясо и мясные продукты,Консервы,,,
96,Вина десертные,,64.1,0.5,0,0,0,20,0,20,1.6,0.6,0.3,17,160,20,25,35,1.1,0,0,0,0,0,0.01,0.1,0.2,0,172,100,Напитки,Алкогольные,Вина виноградные,,
97,Вина крепкие,,69.2,0.4,0,0,0,12,0,12,1.6,0.6,0.3,15,150,15,20,30,0.8,0,0,0,0,0,0.01,0.1,0.1,0,163,100,Напитки,Алкогольные,Вина виноградные,,
98,Вина ликерные,,54.1,0.5,0,0,0,30,0,30,1.6,0.6,0.3,17,160,20,25,35,1.1,0,0,0,0,0,0.01,0.1,0.2,0,212,100,Напитки,Алкогольные,Вина виноградные,,
99,Вина полудесертные,,72.2,0.4,0,0,0,12,0,12,1.6,0.6,0.3,17,160,20,25,35,1.1,0,0,0,0,0,0.01,0.1,0.1,0,140,100,Напитки,Алкогольные,Вина виноградные,,
100,Вина полусладкие белые и красные (в т. ч. шампанское),,82.7,0.2,0,0,0,5,0,5,1.6,0.6,0.3,10,50,15,10,10,0.4,0,0,0,0,0,0.01,0.1,0.1,0,88,100,Напитки,Алкогольные,Вина виноградные,,
101,Вина полусухие белые и красные (в т. ч. шампанское),,85.1,0.3,0,0,0,2.5,0,2.5,1.6,0.6,0.3,10,50,15,10,10,0.4,0,0,0,0,0,0.01,0.1,0.1,0,78,100,Напитки,Алкогольные,Вина виноградные,,
102,Вина сладкие белые и красные (в т. ч. шампанское),,79.7,0.2,0,0,0,8,0,8,1.6,0.6,0.3,10,50,15,10,10,0.4,0,0,0,0,0,0.01,0.1,0.1,0,100,100,Напитки,Алкогольные,Вина виноградные,,
